X,Y,C,R,DirApp_year,LU_year,NatmLosses,Ndeposition,Nfertilizer,Ngw,NgwDirect,Ngw_nondirect,Nharvest,Nharvest_actual,Nirrigation,NlandApplied,NmanureSale,Nnorm,Nrunoff_actual,Nseptic
-192875,298375,610,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192825,298375,611,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192775,298375,612,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192725,298375,613,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192675,298375,614,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192625,298375,615,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192575,298375,616,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192525,298375,617,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192475,298375,618,4,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192425,298375,619,4,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192375,298375,620,4,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192325,298375,621,4,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192275,298375,622,4,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192225,298375,623,4,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192175,298375,624,4,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192125,298375,625,4,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192075,298375,626,4,0.00000,2.00000,0.30593,3.05925,0.00000,0.27533,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.00000
-192025,298375,627,4,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-191975,298375,628,4,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-191925,298375,629,4,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-193375,298325,600,5,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193325,298325,601,5,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193275,298325,602,5,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193225,298325,603,5,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193175,298325,604,5,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193125,298325,605,5,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193075,298325,606,5,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193025,298325,607,5,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192975,298325,608,5,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192925,298325,609,5,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
